group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
희두_나연,_JqrabCtUkI,나연이네 강아지에게 못생겼다는 희두 #환승연애2,4294558,62447,0,0.0,0.0,0.0,2022-08-20T03:00:13Z
희두_나연,o5RUW03r3F8,싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고... #희두나연,4278760,86655,462,1.0,0.0,0.0,2022-10-29T08:46:29Z
희두_나연,2hdQZO6M99I,[환승연애2] 희두 나연 지연 담요 차이...,3715605,0,390,0.33,0.33,0.33,2022-10-23T18:03:01Z
희두_나연,Q3GfSmB1WCs,1️⃣ 청춘 드라마 그 자체! 과몰입 서사의 장본인들 모셨습니다💜 | 이나연 X 남희두 X 성해은 X 정현규 냉터뷰 1부,3059864,49530,1681,0.33,0.67,0.0,2022-12-29T13:00:09Z
해은_규민,LCcoLHfrN0g,[#환승연애2] 매 순간이 청춘 드라마 그 자체🌸 볼수록 과몰입하게 되는 첫사랑과의 처음과 끝 해은X규민 서사 모음 | #디제이픽,2904353,14514,0,0.0,0.0,0.0,2022-10-29T00:05:00Z
해은_규민,dwFY9RY5JaU,"[#갓구운클립] 내가 연애한 것도 아닌데 오열하게 되는 규민X해은 서사💦 서로의 첫사랑, 서로의 세상 그 자체였던 둘 | #환승연애2",2887404,16984,0,0.0,0.0,0.0,2022-08-08T03:00:25Z
희두_나연,VdUcrMIL6K4,"[#환승연애2] 처음으로 마음을 열게 된 사람, 가족만큼 편안하고 사랑하기까지… 기억 조작되는 희두X나연 모음 | #나중에또볼동영상",2686526,15704,0,0.0,0.0,0.0,2022-09-21T09:00:12Z
해은_규민,bKXWd9QrfF8,[해은 규민] 장난 치는데 왜 이렇게 재밌고 편해보임 #환승연애2 #shorts,2658869,21563,0,0.0,0.0,0.0,2022-10-27T15:16:00Z
희두_나연,rkWrRPfNJOU,희두가 오다 주운 에르메스 #일단이나연,2635147,24940,198,0.33,0.0,0.67,2025-04-24T15:16:17Z
해은_규민,HcBJDaH_oD4,[해은 규민] 7년이나 사귄 이유 이 영상 하나로 납득 가능,2610581,39654,0,0.0,0.0,0.0,2022-10-27T15:15:01Z
희두_나연,3jWHQar1dZc,[희두X나연] 귀여운 화해의 악수,2478458,33911,0,0.0,0.0,0.0,2022-09-30T03:00:04Z
희두_나연,osJISI5-DMA,2️⃣ 너의 존재가 서사고 개연성이야💚 ‘그 사랑둥이들’의 A to Z | 이나연 X 남희두 X 성해은 X 정현규 냉터뷰 2부,2227810,27821,772,0.33,0.33,0.33,2023-01-05T13:00:11Z
희두_나연,Pt5XCKeI0Kg,나연희두네 강아지 다 같이 나옴. 누가 더 예쁜지 대국민 투표 바랍니다. [강형욱의개스트쇼] EP.8,2147765,26891,501,0.67,0.33,0.0,2023-02-25T03:00:11Z
해은_규민,iniupmNQIdQ,[해은X규민] 이렇게 놀았을 것 같음ㅋㅋㅋ,2102630,29943,0,0.0,0.0,0.0,2022-10-27T23:10:00Z
희두_나연,l1Hqmp3Dgw8,[#환승연애2] 대학교 선후배가 CC로 만나 가족만큼 사랑하게 되기까지👩‍❤️‍👨  크리스마스 기념 여행에서 시작한 싸움이 마지막이 된 희두X나연 서사 | #샷추가,2081113,9334,0,0.0,0.0,0.0,2022-08-19T03:00:13Z
희두_나연,iYYywOZvfGE,희두 말 오지게 안 듣는 나연이의 최후 #삿포로,2071149,29593,81,1.0,0.0,0.0,2024-04-16T08:30:12Z
해은_규민,0CDa8ahQXc0,[환승연애2] 해은이 추울때 두 남자의 반응 #shorts #환승연애2 #해은 #현규 #규민,1806222,13619,177,0.0,0.67,0.33,2022-10-09T12:40:43Z
해은_규민,3Np3hP7dMCs,[예능숏츠]해은이 앞에서 눈물 터지는 규민 모습들 #환승연애2,1761857,30217,417,0.33,0.33,0.33,2022-10-21T14:40:39Z
해은_규민,bTxKi1dYbKI,[해은X규민] 장기연애 케미,1671069,21465,0,0.0,0.0,0.0,2022-10-27T23:10:00Z
해은_규민,9GoEL8nuYmk,"[#환승연애2] 다음을 기약하면서도 서로의 마지막인 걸 체감한 해은과 규민의 X 데이트, 해은을 향한 마음이 한 번에 터져서 눈물 쏟는 규민 | #지금꼭볼동영상",1519508,8777,0,0.0,0.0,0.0,2022-10-29T00:00:06Z
해은_규민,c8BzoHneLLg,[#환승연애2] 아름다웠던 만큼 너무나 아픈 마음...💧서로의 추억들을 방 한가득 채운 규민X해은 | #지금꼭볼동영상,1506248,7322,0,0.0,0.0,0.0,2022-09-10T00:05:26Z
해은_규민,Qo_GnbzaHlg,"[#환승연애2] 현규X해은X규민, 최종 선택을 앞둔 삼각 서사 | #샾잉",1446941,8180,0,0.0,0.0,0.0,2022-10-21T03:01:00Z
희두_나연,Mrmk6JhGHQo,촬영 중단시킨 희두나연 찐싸움 #극한투어,1376903,16370,1813,0.0,1.0,0.0,2024-09-30T06:29:59Z
희두_나연,tfQuozWOCpc,환승연애2 마지막화 - 나연에게 과했다는 걸 깨달은 희두 (우리의 염원이 희두에게 닿았습니다..!),1356025,8359,329,0.67,0.33,0.0,2022-10-28T15:15:40Z
희두_나연,mS_z7ha7diA,"[환승연애2] 희두 시선의 끝은 항상 나연이었다, 악귀 허스키의 감정선, 그는 투명한 두리구슬",1236457,10025,366,0.33,0.0,0.67,2022-11-09T20:23:35Z
해은_규민,zprlZXKh0U8,환승연애2🎀14화 갑자기 댄스 배틀하는 규민이랑 해은이ㅋㅋㅋ(feat  해은 아싸!),1221204,19340,271,0.33,0.0,0.67,2022-09-16T11:05:07Z
희두_나연,lEoIOJ458zo,환승연애2 마지막화 - 나연 “내가 행복하게 해줄게” 희두 “니가?”,1205760,4362,328,0.67,0.33,0.0,2022-10-28T12:06:32Z
해은_규민,YnmmmWroR-A,[환승연애2] 쌓였던 마음을 털어놓는 해은X규민 그리고 뜻밖의 6년 케미 짬바| 19화 클립,1075364,6135,0,0.0,0.0,0.0,2022-10-22T04:00:12Z
희두_나연,PS-qS_wpU5A,[환승연애2] 나언 앞에서는 작아지는 현규 (희두와 나연에 빙의된 줄 ㅋㅋ)#transitlove2,1071556,4545,101,0.33,0.0,0.67,2022-10-24T10:13:44Z
해은_규민,bQnoIYZxbkM,[#인기급상승] 레전드 서사 나왔다.. 규민 X 해은 보고 어떻게 안 울어💦 20대 전부를 서로에게 바쳤던 커플의 끝 | #환승연애,1063395,3967,0,0.0,0.0,0.0,2022-08-06T00:05:00Z
희두_나연,jYpZg0EwGZk,티키타카 희두 나연 케미,1050361,9066,0,0.0,0.0,0.0,2022-09-30T10:00:35Z
희두_나연,HgcU6Uz748o,[환승연애2] 희두X나연 왜 계속 헤어졌다 다시 만났는지 이해감,975346,6372,0,0.0,0.0,0.0,2022-08-18T15:00:09Z
해은_규민,Se1lgiU0q6s,환승연애2 최종선택 _ 규민과 마지막 눈맞춤 후 헝구 아니 현규에게 가는 해은,946695,8521,1022,0.67,0.33,0.0,2022-10-28T13:34:49Z
희두_나연,NP0Dc_fJFBo,개무서운 나연 ㄷ ㄷ #환승연애2 #나연희두,940860,9106,46,1.0,0.0,0.0,2022-09-11T02:52:05Z
희두_나연,KP3cWux2dN8,환승연애2 19화 / 희두 찐남동생 모먼트 .. 해은한정스윗남 (나연에게만 살쾡이 ㅠ),907809,4980,155,0.67,0.33,0.0,2022-10-21T07:56:00Z
희두_나연,O6k8J5WJ26M,[#환승연애2] &quot;진짜 행복하게 해줄 자신 있어&quot; 사랑싸움 대신 사랑을 선택한 나연♥희두 | #샾잉,882979,5893,0,0.0,0.0,0.0,2022-11-07T03:03:00Z
희두_나연,HnBe40eDCQo,환승연애2 - 엄청 재밌게 사귀는 현커 희두나연,869461,6682,270,0.67,0.0,0.33,2022-10-28T14:52:27Z
희두_나연,Nc-qjlvJuvY,(SUB) 희두X나연이 말아주는 환승연애3 리뷰💕 l 문자에 연연하지 않은 희두(?)  l 재회라는 말도 웃겨,844318,10966,595,0.67,0.0,0.33,2024-03-28T11:35:00Z
해은_규민,RKVrMZTLHlk,[#환승연애2] 이제야 전해지는 규민의 진심💧 마지막을 앞두고 진솔한 얘기를 나누는 둘😭 그리고 해은의 선택 | #지금꼭볼동영상,789020,5150,0,0.0,0.0,0.0,2022-11-12T00:00:13Z
희두_나연,-rl4PHN3VG8,[#인기급상승] 4년을 만나도 설레는 희두x나연💓 환승이 아닌 재회를 선택한 희두의 속마음? | #환승연애2,756201,4970,0,0.0,0.0,0.0,2022-11-12T00:30:00Z
희두_나연,HP8E7vBKgGE,[환승연애2] 나연의 사랑으로 퇴마된 악귀 허스키 희두,736054,16639,0,0.0,0.0,0.0,2022-11-10T03:00:06Z
희두_나연,K6fgWihcDxs,[#환승연애2] 희두가 손 내밀면 마음이 자꾸 흔들리는 나연… 쌓여가는 오해와 얽히고설킨 &#39;호감&#39;과 &#39;미련&#39; 사이 | #편집자는,730488,2521,0,0.0,0.0,0.0,2022-09-30T10:30:05Z
해은_규민,ZooZU8RVx2E,[환승연애2]규민이랑 데이트 하고싶은 해은..?,727711,8617,56,0.33,0.33,0.33,2022-10-14T17:05:54Z
해은_규민,PuGtPk26S10,[환승연애2] 17화 규민X해은 해은아 잠깐 나가서 얘기할래?,703897,2407,496,0.0,1.0,0.0,2022-10-07T07:20:36Z
해은_규민,p4iN8KZ5AMM,[#환승연애2] &quot;너 진짜 너무한다..&quot; 나연과 데이트하고 싶다는 규민의 말에 오열하는 해은💧 | #샾잉,702313,3634,0,0.0,0.0,0.0,2022-10-06T16:00:25Z
