speaker,confidence,text,target,sentiment,category,summary
성해은,0.95,"저는 어쨌든 제 마음은 규민이라는 게 변함이 없어서 어쩔 수 없이 규민이한테 보내게 됐어요. 어쨌든 걔는 데이트를 하고 왔을 거잖아요. 너무 재밌.. 받지 않았으면 하는 마음에 적당히만 재밌게 놀고 왔길 바라라고 보냈어요. 그래서 앞에 있는 사람을 두고 다른 사람한테 보낸다는 게 진짜 너무 이러면 안 될 것 같았는데, 제 마음이 계속 규민이다 보니까, 제 앞에 있는 히두씨를 고르기에는 저를 속이는 것 같아서 그냥 예의상 보내는 건 저는 아닌 것 같아서 어쨌든 제 솔직한 마음은 계속 규민이인 게 변함이 없으니까 규민이한테 보냈고, 재료 마냥 좋았지만은 않았어요. 그냥 계속 규민이 생각이 계속 컸었던 것 같아요.",정규민,negative,emotion_polarity,"성해은은 자신의 마음이 정규민에게 향해있어 어쩔 수 없이 정규민에게 메시지를 보냈으며, 다른 사람에게 보내는 것이 옳지 않다고 생각했지만 마음이 계속 정규민에게 향해있어 솔직한 마음을 따랐다고 말하며 괴로워함."
성해은,0.95,너무 너무 좋음. 알고 있었어. 예상은 그래도 하고 있었는데 무너지는 것 같았어.,,mixed,emotion,긍정적인 감정과 예상치 못한 상황에 대한 무너지는 감정이 혼재된 발언.
성해은,0.95,근데 안 보내는... 그게 아니고... 그 표에 행방이 너무나도 또렷해 보여서 그래서 아쉬웠어요.,정규민,negative,attention,"성해은은 데이트 상대 선택에 대한 아쉬움을 표현하며, 과거의 선택에 대한 미련을 간접적으로 드러내고 있다."
성해은,0.95,이제 혜윤 님.,,neutral,none,성해은이 다른 출연자(혜윤)를 언급함
성해은,0.95,"감사합니다. 저 옮기면 될까요? 네, 아, 진짜?",,positive,social,"""감사합니다""라는 표현에서 긍정적인 감정이 드러나며, 상황에 대한 동의를 구하는 것으로 보아 사회적 상호작용의 일부로 해석될 수 있음."
성해은,0.95,음.. 그러면 저는 찍었네요.,,neutral,none,자신이 무언가를 선택했음을 간접적으로 언급하는 발언.
성해은,0.95,유일한 동갑이네.,정규민,neutral,relationship,정규민이 유일한 동갑임을 언급하며 관계에 대한 관심을 표명.
성해은,0.95,"이 시드님, 이 시드님.",,neutral,mention_other,이시드 님을 언급함.
성해은,0.95,"알고 보니 궁금하네. 아니, 알고 보니 엄청 많을 수도 있어요.",,neutral,uncertainty,새로운 사실에 대한 궁금증과 그로 인한 다양한 가능성에 대한 언급
정규민,0.9,"네, 맞아요, 아, 아파 나 그럼 잠깐만, 내가 최연장자야?",,negative,emotion_polarity,"""아파""라는 단어를 통해 부정적인 감정을 드러냄."
성해은,0.95,너가 지금 최언니야? 최언니? 나연아.,,neutral,none,성해은이 나연에게 최언니인지 묻는 질문.
성해은,0.95,"말 놔도 되지, 안녕히 계세요, 아니, 나 오늘 스케이트 탔단 말이야. 오늘 스케이트 어땠어? 진짜 잘 타. 언니는? 나도 잘 타. 둘은 잘 탔네? 근데 손 잡고 탄 거 아니야? 손을 잡고 탔다고? 아니, 끌어줬어.",,neutral,일상 대화,"성해은이 스케이트 탄 경험에 대해 이야기하며, 다른 사람들의 스케이트 경험을 묻고 손을 잡고 탔는지 질문함."
성해은,0.95,내 터널을 구축하라고 이걸 사줘가지고 와 진짜...,,negative,emotion_polarity,누군가가 터널을 구축하라고 사준 것에 대한 불만을 표현하고 있습니다.
성해은,0.95,"오늘 근데 데이트 진짜 부럽다. 어, 근데 좋았지? 좋았어 좋았어. 너 좋았어? 어, 나 완전 좋았어. 익선두? 그럼 너 몇 시에 들어왔어?",,positive,emotion_sharing,"성해은은 데이트에 대한 부러움을 표현하며, 상대방에게 데이트가 좋았는지 묻고 자신도 매우 좋았다고 말함. 상대방의 귀가 시간을 궁금해함."
성해은,0.95,근데 나 오늘 완전 취해가지고. 심어졌어? 심어졌거든?,,중립,상태 언급,"술에 취한 상태를 언급하고, 어떤 상황이 발생했는지 확인하는 발언."
성해은,0.95,"너 술 원래 못해? 나 술 완전 잘해. 그래? 우리 가서 2병, 4병 마셨어. 소주도 4병. 그래서 그냥 술이 술술 들어간답다. 근데 진짜 재밌었고 좋았어.",,positive,emotion_polarity,"""재밌었고 좋았어""라는 언급을 통해 긍정적인 감정을 표현함."
성해은,0.95,같이 있을 때? 너도 그랬어? 나는 그랬어. 서로 보냈어. 대면하고 있는데 문자 왔었거든?,정규민,neutral,situation,"성해은은 정규민과 함께 있을 때 서로 문자를 주고받았던 경험을 이야기하며, 대면하고 있는 상황에서도 문자가 왔었다고 언급한다."
성해은,0.95,침대에 누워서 얘기하는데 그리고 규린이는 저한테 문자로 보낸 적이 없거든요.,,neutral,statement,규린이가 자신에게 문자를 보낸 적이 없다고 말함.
성해은,0.95,그러면 그 문자의 행방은 나연 씨인 게 너무 확실한 것 같아서 너무 아파요.,,negative,emotion_polarity,문자의 행방이 나연 씨인 것 같아서 아프다고 말함.
성해은,0.95,서로 보내고 있네 쓸 것 같아서.,,neutral,observation,출연자들이 무언가를 주고받고 있는 상황을 언급하고 있다.
성해은,0.95,희두씨랑 데이트할 때도 저는 규민이한테 보냈잖아요. 근데 나연씨가 서로 문자도 보냈겠네요 했을 때 저는 서로 보냈다고 했어요. 다른 사람한테 보냈겠지만 하면 좀 의심 가니까 아. 근데 참..,정규민,negative,attention,"성해은은 과거 정규민에게 문자를 보냈던 경험을 언급하며, 김나연이 다른 사람에게 문자를 보냈을 가능성에 대한 의구심을 드러내고, 복잡한 감정을 표현함."
성해은,0.95,근데 진짜 언제 해보겠어?,,neutral,general,미래에 대한 기대감을 드러내는 질문
성해은,0.95,"네, 다 불 꺼져 있었어.",,neutral,observation,"주변 상황에 대한 진술로, 감정적인 내용이 직접적으로 드러나지 않습니다."
성해은,0.95,"놀이기구 탔어. 다 꺼져 있었어. 되게 내 로망이다, 그 야간... 그리고 스케이트장도 꺼져있었어요.",,neutral,event_description,놀이기구와 스케이트장이 꺼져 있는 야간 풍경에 대한 감상을 표현함.
성해은,0.95,"아무도 없었긴 했지, 우리만 타긴 했지. 그리고 다 꺼져있고.",,neutral,neutral,상황에 대한 객관적인 진술.
성해은,0.95,잘 먹자. 먹으세요. 먹으세요. 먹겠습니다. 잘 먹겠습니다.,,neutral,일상,식사 시작 시 하는 인사말.
정규민,0.9,그냥 얘기 좀 하고 있었어.,,neutral,relationship,"정규민은 단순히 이야기를 나누고 있었다고 언급하며, 특별한 감정이나 관계에 대한 언급은 없습니다."
정규민,0.9,내가 가면 안 돼 오빠가 가면 되잖아.,정규민,negative,갈등,정규민이 가는 것에 대한 불만을 표현하며 갈등을 드러냄.
정규민,0.9,다들 잘하네.,,neutral,general,다른 출연자들의 행동이나 능력에 대한 일반적인 언급.
정규민,0.9,근데 어제 많이 취했던데?,,neutral,social,정규민이 상대방에게 어제 술에 취했는지에 대해 질문하는 발언.
정규민,0.9,내 차에 젤리 막 다 쏟아져 있던데? 무슨 헨젤과 그레텔마냐?,,중립,일상 대화,차에 젤리가 쏟아진 상황에 대한 가벼운 불평
정규민,0.9,근데 어제 많이 취했던데?,,neutral,social,상대방의 어제 음주 여부에 대해 질문하는 발언.
정규민,0.9,내 차에 젤리 막 다 쏟아져 있던데? 헨젤과 그레텔마냐?,,중립,일상 대화,차 안에 젤리가 쏟아진 상황에 대한 가벼운 불평
정규민,0.9,어제 네가 술 마시고 오면서 젤리 마켓에서 먹었거든.,,neutral,일상,어제 술 마시고 젤리 마켓에서 젤리를 먹었던 일상적인 경험을 이야기하고 있다.
성해은,0.95,곳곳에 있어서 다 같이 저녁 먹는데 근데 규민이가 또 나연씨 마주 보는 자리에 앉아서 나는 몰리는데 둘이서만 자꾸 교류가 있는 모습을 보니까 자꾸 너무... 우리 나가서 다 같이 얘기하고 있는데 저 혼자 울고 있으면 안 되니까 기를 쓰고 참습니다.,정규민,negative,emotion,규민과 나연의 교류를 보며 힘들어 울음을 참는 성해은의 감정 토로
정규민,0.9,너는 여기서 잘 지내고 있구나. 나는 여기서 지내는 게 조금은 쉽지 않아 이 느낌으로 안 했을 거라고 생각해요.,,negative,negative,"정규민은 현재 상황에 대한 어려움을 토로하며 쉽지 않다고 언급하고, 특정 느낌에 대한 부정적인 감정을 표현함."
정규민,0.9,가만있어. 별 생각 없었어요.,,neutral,neutral,정규민은 특별한 생각 없이 있었다고 말하며 중립적인 태도를 보임.
성해은,0.95,잘 친해 보이는 게 좋지 않아요.,,positive,relation,다른 사람들과 잘 지내는 모습에 대한 긍정적인 언급
성해은,0.95,초반부에서 난 안 좋아.,,negative,emotion_polarity,화자는 초반부에 대해 부정적인 감정을 표현함
성해은,0.95,근데 규민이가 자꾸 이렇게 다같이 있는 자리에서 특히나 저가 더 슬프다는 걸 알까?,정규민,negative,emotion_polarity,"규민이가 자신의 슬픔을 알아줄지 걱정하는 발언으로, 부정적인 감정이 드러남."
성해은,0.95,시청해주셔서 감사합니다.,,neutral,closing,시청자에게 감사 인사를 전하는 발언입니다.
정규민,0.9,데이트하고 술 마시고 들어오면서 나연이가 또 젤리를 먹었던 걸로 기억을 하는데 차 뒷좌석에 젤리가 막 떨어져 있더라고요. 자석 밑에 떨어져 있고 안전벨트 구멍에 들어가 있고 귀엽다는 생각이 들죠.,김나연,positive,affection,정규민은 김나연의 젤리 먹는 모습과 차 뒷좌석에 젤리가 떨어진 것을 보고 귀엽다고 생각하며 호감을 표현함.
성해은,0.95,작년 생일은 같이 못 보냈는데 올해는 같이 보내니까 그걸 어떻게 지나쳐요? 못 지나치겠어서 준비했었는데 입주하고 너 생일이잖아 그러더라.,정규민,negative,attention,"작년에 함께 보내지 못한 생일을 올해 함께 보내는 것에 대한 감정을 표현하며, '너'의 생일을 언급하는 내용으로, '정규민'에 대한 관심이 드러난다."
정규민,0.9,그래서 나 생일파티 가족들이랑 미리 했어.,,neutral,일상,정규민은 가족들과 미리 생일 파티를 했다고 언급함.
정규민,0.9,되게 간단하게 감사합니다. 맛있겠어.,,positive,gratitude,간단하게 감사 인사를 전하며 긍정적인 반응을 보임.
정규민,0.9,그게 내가 24살인가 때 가족들이랑 거기서 밥 먹었었는데 그때도 먹으면서 나중에 혜연이랑 데이트할 때 와야지 했었는데 그 생각이 나더라고요.,성해은,positive,attention,정규민은 과거 가족과 식사하며 성해은과 데이트할 것을 상상했던 경험을 회상하며 긍정적인 감정을 드러냄.
성해은,0.95,아 진짜?,,neutral,response,상대방의 말에 대한 단순한 반응.
성해은,0.95,그러지.,,neutral,response,상대방의 제안에 동의하는 발언.
성해은,0.95,ㅎㅎㅎㅎㅎ 규민이 생일이 5월 14일인데 원래 입주 예정일이 딱 그날이었거든요 그래서 제가 규민이 앞에 진짜 선물처럼 나타날 수 있을 줄 알았어요 그리고 그게 예정치 못하게 그렇게 되지 못한 것도 너무 아쉽고 감사합니다. 진짜 이 선물뿐만 아니고 나의 존재 자체가 선물이었으면 하는 마음이 너무 컸었거든요 그래서 아쉬웠어요.,정규민,복합적,회상,"정규민의 생일에 맞춰 입주하려 했으나, 계획대로 되지 않아 아쉬워하며 자신의 존재가 선물이었으면 하는 마음을 드러냄."
성해은,0.95,몰래라도 깨민이한테 주고 싶었던 그 생일 선물이 있었는데 아직도 못 줬었거든요 안녕히 계세요.,정규민,negative,attention,"정규민에게 주지 못한 생일 선물에 대한 아쉬움을 표현하며, 부정적인 감정을 드러냄."
성해은,0.95,그래서 방에 몰래 가서 어떤 게 규민이 가방일까 기웃기웃해보긴 했는데 혹시나 또 룸메한테 발견될까 봐도 아직 못 죽었거든요.,정규민,negative,attention,정규민의 가방을 찾으려 했으나 룸메이트에게 발각될까 봐 두려워하는 감정을 드러냄.
성해은,0.95,나 진짜 헬스장 데이트 좋아했어. 좋아했어? 했어요? 나 한 번도 해본 적 없어. 그래서 진짜 운동했지. 이제 한 세트 끝나면 한 세트 하고. 한 세트 끝나면 한 세트 하고. 그게 된다고? 나 너무 좋았지. 그리고 끝나고 소고기 먹으러 가고.,,positive,relationship,헬스장 데이트와 데이트 후 소고기 먹는 것에 대한 긍정적인 감정을 표현함.
정규민,0.9,응?,,neutral,none,정규민의 짧은 반응
정규민,0.9,특별한 데이트? 얘기해보세요.,,neutral,relationship,정규민이 데이트에 대한 이야기를 시작하도록 요청하는 발언
정규민,0.9,"근데 나는 그냥 솔직히 말해서 평범한 데이트를 많이 했던 것 같아. 그냥 뭐 카페 가고 밥 먹고 근데 나는 그냥 같이 있는 사람이 중요한 거 같아서 응, 나는 같이 있는 사람이랑 재밌었어서 그래서 그냥 평범한 데이트를 해도 그게 평범하게 느껴지진 않았던 것 같아요.",,positive,relationship,"정규민은 평범한 데이트를 많이 했지만, 함께 있는 사람이 중요해서 즐거웠다고 말함."
정규민,0.9,앰플 워치 저는 지수한테 보냈어요. 그날 하루를 지수가 나를 되게 행복하게 해줬고 같이 있어서 너무 즐거웠고 오늘이 재밌었긴 했지만 시청해주셔서 감사합니다. 다른 사람이랑도 데이트 해봐야지. 이런 감사합니다.,None,positive,relation,"정규민은 지수에게 앰플 워치를 보냈으며, 지수가 자신을 행복하게 해줬고 즐거웠다고 말함. 다른 사람과도 데이트 해봐야겠다고 언급하며 감사 인사를 전함."
성해은,0.95,저는 규민이 선택했었어요.,정규민,neutral,statement,과거에 정규민을 선택했었다고 진술함
성해은,0.95,"일이 아니고 데이트 때문에 얼굴을 보지 못한 거였으니까, 그 와중에도 나는 너 생각하고 있으니까, 비타민 먹으면서라도 내 생각해주고 영양 잘 챙기라고 계속 제가 규민이 생각하는 마음을 전하고 싶었습니다.",정규민,positive,emotion_polarity,"정규민에 대한 애정을 표현하며, 그를 생각하는 마음을 전달하고 싶어함."
정규민,0.9,잘 챙겨 먹고 있어요.,,neutral,일상,정규민이 상대방에게 잘 챙겨 먹고 있는지 확인하는 발언.
정규민,0.9,"매일 하나씩 먹고 있고, 먹을 때 같이 있는 사람 있으면 나눠 먹고 그러고 있어요.",,neutral,일상,"정규민은 매일 무언가를 하나씩 먹고, 같이 있는 사람이 있으면 나눠 먹는다고 말함."
성해은,0.95,"전혀 아무렇지 않았고, 제가 안 받아도 그.. 당신의 입술은 선택하지 않았습니다.",정규민,negative,emotion_polarity,전혀 아무렇지 않았다는 말과 '당신의 입술은 선택하지 않았다'는 언급을 통해 부정적인 감정을 드러냄.
성해은,0.95,그래서 그렇게 슬펐어.,,negative,emotion_polarity,화자는 과거에 슬펐던 경험에 대해 이야기하며 부정적인 감정을 드러냄.
성해은,0.95,고맙습니다.,,positive,emotion_polarity,감사 인사를 통해 긍정적인 감정을 표현함.
성해은,0.95,"안녕. 아, 나는 표 안 받아도 되니까, 그냥 그 문자 안 왔으면 좋겠어요.",,negative,emotion_polarity,문자 메시지에 대한 거부감을 드러내며 부정적인 감정을 표현함.
성해은,0.95,"규민이가 선택을 안 하면 좋은데, 어쨌든 누구를 선택한 거잖아요? 나한테 안 갔다는 거 그게 아파서 안 올 것 같은데, 오면은 너무 기쁘겠지만 어려울 것 같아요.",정규민,negative,emotion_polarity,정규민이 자신을 선택하지 않은 것에 대한 아픔과 그가 오지 않을 것 같다는 불안감을 표현하고 있다. 그러나 한편으로는 그가 와주기를 바라는 기쁨의 감정도 내비치고 있다.
성해은,0.95,"기대를 안 하나 봐요, 이제 너무 숨막혔어요.",,negative,emotion_polarity,숨막히는 감정에 대한 토로
성해은,0.95,이번에는 진짜 지목 데이트잖아요.,,neutral,event,지목 데이트라는 이벤트에 대한 언급
성해은,0.95,"답변자 입장으로 들어가다 보니까, 아무것도 얘기 안 하고 싶고, 진실을 알려주기 싫고, 불안의 장소였어요.",None,negative,emotion_polarity,아무것도 얘기하고 싶지 않고 진실을 알려주기 싫었으며 불안했다고 말하는 것으로 보아 부정적인 감정을 드러냄.
성해은,0.95,1년 전쯤이었어.,,neutral,attention,1년 전을 언급하며 과거에 대한 관심을 드러냄
성해은,0.95,"헤어진 지 얼마나 된 거지? 헤어진 지 1년 됐고, 1년 정도 만났어. 시청해주셔서 감사합니다. 감사합니다. 진짜 대답하기 싫었어요.",정규민,negative,attention,"성해은은 헤어진 지 1년 되었고, 1년 정도 만났다고 말하며 X에 대한 언급을 한다. 질문에 대답하기 싫었다고 말한다."
성해은,0.95,"안 그래도 좋게 보는 규민이를 6년이나 사귀었다고 얘기를 하면 더 좋게 볼 것 같아서, 사귄 기간 절대 거짓말해야지.",정규민,positive,attention,"규민에 대해 좋게 보고 있으며, 규민과의 관계에서 긍정적인 인상을 주기 위해 거짓말을 할 의향을 드러냄."
성해은,0.95,지금 규민이한테 마음이 있어?,정규민,neutral,question,성해은이 정규민에게 현재 마음이 있는지 직접적으로 묻는 질문
성해은,0.95,제외하고 싶은 마음이 더 큰 것 같아.,,negative,emotion_polarity,상대방을 제외하고 싶다는 부정적인 감정을 표현함.
성해은,0.95,제가 그걸 말하는 그 사람의 심정은 어떨까요?,,neutral,unknown,화자의 심정에 대한 질문
성해은,0.95,"제가 거짓말을 하고 있는 걸 알지라도, 저는 그냥 제 마음을 표현하고 싶었어요. 이만큼 우리 둘은 견고하다. 아직. 내 위치도 강력하다.",정규민,negative,emotion_expression,"화자는 거짓말을 하고 있다는 것을 알면서도 자신의 마음을 표현하고 싶어하며, 자신과 상대방의 관계가 아직은 견고하고 자신의 위치도 강력하다고 주장한다."
성해은,0.95,여기 와서 규민이랑 대화는 많이 했어?,정규민,neutral,attention,"성해은이 정규민과의 대화 빈도에 대해 질문하며, 정규민에게 관심을 보이는 발언"
성해은,0.95,그래도 생각보다 많이 했어.,,neutral,none,"성해은의 발언에는 감정적인 내용이나 특정 인물에 대한 언급이 없어 감정, 관심, 주도성 관련 분석을 생략함."
성해은,0.95,만날 때 누가 더 좋아했어?,정규민,neutral,relationship,성해은이 정규민과의 과거 연애에 대해 질문을 받음
성해은,0.95,규민이에게 훨씬 더 많이 사랑받았었어.,정규민,negative,attention,"과거 정규민에게 더 많은 사랑을 받았다고 언급하며, 과거 회상과 현재 상황에 대한 감정적 대비를 드러냄."
성해은,0.95,자기소에서 유민이가 너 때문에 고생했다고 그랬잖아.,성해은,negative,attention,자기소개에서 이주미가 성해은 때문에 고생했다고 언급한 것에 대한 언급.
성해은,0.95,무슨 고생을 했어?,,중립,질문,상대방의 어려움이나 고생에 대해 묻는 질문
성해은,0.95,"그냥 짜올 일이 많았는데, 내가 생각했을 때는 내가 미안한 일들이 많더라고.",,negative,emotion_polarity,자신이 미안한 일들이 많았다고 말하며 부정적인 감정을 드러냄.
성해은,0.95,"잘 못해줬던 거야? 후회가 많이 됐었어. 규민이가 해준 거에 비해서. 내가 많이 못해준 것 같아서, 제가 봤을 때 헤어짐의 그 규책은 규민 오빠의 X한테 있었던 것 같아요. 후회하는 것 같았어요.",정규민,negative,emotion_polarity,과거에 정규민에게 잘해주지 못했던 것에 대한 후회와 헤어짐의 원인이 정규민의 전 연인에게 있었다고 생각하며 후회하는 감정을 드러냄.
성해은,0.95,규민이가 이번에 데이트 했잖아. 기분이 어땠어?,정규민,negative,emotion_polarity,정규민의 데이트에 대한 질문에 부정적인 감정을 드러냄
성해은,0.95,네. 좋진 않더라고 네.,,negative,emotion_polarity,좋지 않다고 말하며 부정적인 감정을 드러냄.
성해은,0.95,내가 데이트를 해도 괜찮을까?,,neutral,initiative,성해은이 데이트 가능성을 묻는 발언을 통해 관계 형성을 시도하고 있다.
성해은,0.95,그것도 좋지 않을 거 같아.,,negative,emotion_polarity,"제안에 대한 거절 의사를 간접적으로 표현하며, 부정적인 감정을 내비치고 있다."
