speaker,text,target,sentiment,category,summary
남희두,"자, 이 중에서 시청해주셔서 감사합니다.",,neutral,closing,방송 종료 멘트
이나연,왜 이렇게 살 빠졌어?,None,neutral,question,상대방의 외모 변화에 대한 질문
남희두,다리 많이 빠졌지 쭉 운동 열심히 해서 요즘 되게. 응?,None,positive,칭찬,상대방의 외모 변화에 대해 칭찬하는 발언
이나연,멋있어졌다.,None,positive,칭찬,상대방의 외모나 능력에 대해 칭찬하는 발언.
이나연,왜 이렇게 어색하냐? 오랜만에 봐서 그런가?,None,negative,불만,오랜만에 만난 대상과의 어색함에 대한 불만
남희두,어색하지 오랜만이니까 다른 사람 그래.,None,neutral,greeting,오랜만에 만난 상황에 대한 어색함을 표현하는 발언
남희두,다른 사람 같아 나 달라진 거 없어?,None,neutral,appearance,자신의 외모 변화에 대한 질문.
남희두,보이던데 뭐 더 있어야 돼?,None,neutral,question,상대방에게 필요한 것이 더 있는지 묻는 질문
이나연,아니 많이 달라졌잖아 머리도..,None,neutral,appearance,상대방의 외모 변화를 인지하고 언급함.
남희두,그래!,None,neutral,response,상대방의 긍정에 대한 단순한 동의 표현
이나연,그거밖에 없나 보네.,None,neutral,none,상황에 대한 체념적인 반응을 보임.
이나연,네.,,neutral,response,상대방의 질문에 대한 동의 또는 확인 응답
남희두,만약에 방송 아니었으면 다 원래 이렇게 했을 거 같애 모르겠다.,None,neutral,uncertainty,방송 상황이 아니었다면 어땠을지 모르겠다는 발언.
이나연,나는 사실 그때는 네가 좀 보고 싶기도 했고 아 연락하고 싶었어?,남희두,positive,attention,전 연인(X)에 대한 그리움과 연락하고 싶었던 감정을 표현함.
남희두,어..,,neutral,response,상대방의 발언에 대한 단순 반응
이나연,잘 지내는지 경기 잘했는지?,남희두,neutral,question,남희두의 안부를 묻는 질문
남희두,맨 처음 본 거는 듣고 있는데 강의실 문 열면서 혼자 마지막으로 들어온 거예요. 회색 카디건에 그 앞에 모양은 들어간 바디건이 있고 태블릿 PC랑 이렇게 들고 딱 들어오는데 그 모습이 생생히 기억나기는 해요 그게 천만원입니다.,이나연,positive,attention,이나연의 첫인상에 대한 긍정적 묘사
이나연,희두가 근데 워낙 인상이 강하잖아요 존재감이 강하니까 어딜 가도 좀 눈에 띄었어요 그래서 지나갈 때마다 뭐야 저 키 크고 잘생긴 사람 동기들 사이에서도 서로 알고 있었어요.,남희두,positive,attention,남희두의 강한 인상과 존재감에 대한 긍정적 언급과 주변의 높은 관심에 대한 발언
남희두,이뻐가지고 배고프진 않음.,None,positive,compliment,상대방의 외모에 대한 칭찬을 통해 긍정적인 감정을 표현함.
이나연,아 제가 한 번 말을 걸어야 되는데 희두한테는 몰랐다고 했는데 알게 되기 완전 전에도 한번 힘들어하는 지하철을 같이 탄 적이 있거든요.,남희두,negative,attention,지하철에서 남희두가 힘들어하는 모습을 봤던 과거 회상하며 언급.
이나연,저랑 몇 정거장 안 차이 났거든요. 우리집 근처 산에 이러면서 계속 구경하면서 봤어요. 본인은 모를걸요. 생각해보면 운명인가? 감사합니다.,남희두,positive,attention,과거 남희두와 거주지 근처에서 우연히 마주쳤던 상황을 회상하며 운명적인 감정을 느낌.
남희두,"2018년도 1월 1일이었는데, 원래 SNS로는 친구가 돼 있었어 가지고 보낼까 말까 하다가 그냥 진짜 편하게 '새해 복 많이 받으세요' 라는 말로 편하게 새해를 보냈었죠. 누나 나연이 누나 맞죠? 이런 식으로 잘 보냈었죠.",이나연,positive,attention,과거 이나연과의 SNS 친구 관계를 언급하며 새해 인사를 보냈던 경험을 회상하며 편안한 감정을 표현함.
이나연,어 희두도 새해 복 많이 받아 이렇게 연락을 이어갔어요.,남희두,positive,attention,"남희두에게 새해 인사를 건네며 연락을 이어갔다는 내용으로, 긍정적인 감정이 드러난다."
