speaker,confidence,text,target,sentiment,category,summary
UNKNOWN,,[#환승연애2] 영원할 줄 알았던 첫사랑의 마침표... 과몰입하게 되는 규민X해은 모음 | #나중에또볼동영상.m4a SCENE1 00:00 - 22:00 ------------------,정규민,neutral,N/A,환승연애2 영상 클립에 대한 정보 제공.
성해은,,왜 이렇게 늦게왔어?,,neutral,none,상대방의 도착 시간에 대한 질문
정규민,,그러게...춥다 밖에 그치? 휴지 없나?,,neutral,일상 대화,날씨가 춥다는 언급과 휴지를 찾는 발언
성해은,,(눈물을 흘리며) 보고 싶었어.,,negative,emotion_expression,성해은이 눈물을 흘리며 보고 싶었다고 말함.
정규민,,(애써 표정 갈무리하며)잘 지냈어? 그만 울어. 나까지 울리겠다.,,negative,emotion_expression,"정규민이 상대방에게 울지 말라고 하며, 자신까지 울릴 것 같다고 말함."
성해은,,너가 웃어줄지 아닐지 궁금했거든. 웃어줘서 고마워. SPEAKER_3 나도 보고 싶었어. 네가 어떻게 지내는 지도 궁금하고. 어땠어? 처음에 이거(환승연애 프로그램) 연락받고 어땠어?,정규민,positive,initiative,"상대방에게 웃어줘서 고맙다고 표현하며, 보고 싶었다고 말하고, 어떻게 지냈는지, 프로그램 연락을 처음 받았을 때 어땠는지 질문하며 적극적으로 대화를 주도하고 있다."
성해은,,너 전화가 놀랐지. 생전 울리지도 않던 정규민이 휴대폰 화면에 뜨니까 SPEAKER_3 내 전화번호 저장은 돼 있었어? SPEAKER_1 당연하지 너는 지웠어?,정규민,negative,emotion_polarity,"정규민의 전화에 놀랐다는 감정을 표현하며, 정규민이 자신의 전화번호를 저장했는지 묻고, 상대방에게는 자신의 번호를 지웠는지 되묻는 발언에서 서운함이 느껴진다."
정규민,,"나 있어, 그대로.",,neutral,none,정규민은 현재 상황에 변화 없이 그대로 있음을 표현함.
성해은,,당연하지. 난 원래 안 지우잖아.,,neutral,statement,상대방의 이전 행동에 대한 언급.
정규민,,근데 그래도 내가 생각했던 것보다는 너 긴장 안 하는 것 같은데? 괜찮은 것 같은데?,,positive,observation,정규민은 상대방이 생각보다 긴장하지 않은 것 같다고 말하며 괜찮은 것 같다고 긍정적으로 평가함.
