speaker,confidence,text,target,sentiment,category,summary
UNKNOWN,,[#환승연애2] 영원할 줄 알았던 첫사랑의 마침표... 과몰입하게 되는 규민X해은 모음 | #나중에또볼동영상.m4a SCENE1 00:00 - 22:00 ------------------,정규민,Positive,Love,"규민과 해은은 서로에 대한 애정을 표현하며, 과거의 추억을 회상하고, 미래에 대한 기대감을 나눕니다."
SPEAKER_1,,왜 이렇게 늦게왔어?,정규민,부정적,질문,늦은 도착에 대한 질문
SPEAKER_3,,그러게...춥다 밖에 그치? 휴지 없나?,None,Neutral,Conversation,Speaker 3 asks about tissues and mentions the cold weather.
SPEAKER_1,,(눈물을 흘리며) 보고 싶었어.,정규민,부정,감정 표현,보고 싶었어
SPEAKER_3,,(애써 표정 갈무리하며)잘 지냈어? 그만 울어. 나까지 울리겠다.,성해은,negative,emotion_polarity,울지 마세요. 나까지 울게 만들어요.
SPEAKER_1,,너가 웃어줄지 아닐지 궁금했거든. 웃어줘서 고마워. SPEAKER_3 나도 보고 싶었어. 네가 어떻게 지내는 지도 궁금하고. 어땠어? 처음에 이거(환승연애 프로그램) 연락받고 어땠어?,정규민,긍정적,감정 표현,SPEAKER_3의 긍정적인 감정 표현과 프로그램 연락에 대한 질문
SPEAKER_1,,너 전화가 놀랐지. 생전 울리지도 않던 정규민이 휴대폰 화면에 뜨니까 SPEAKER_3 내 전화번호 저장은 돼 있었어? SPEAKER_1 당연하지 너는 지웠어?,SPEAKER_3,Positive,Relationship,SPEAKER_1 and SPEAKER_3 are discussing their relationship and past interactions with SPEAKER_2.
SPEAKER_3,,"나 있어, 그대로.",None,neutral,response,"화자는 상대방의 말에 동의하며, 자신의 감정을 표현하지 않고 그대로를 받아들입니다."
SPEAKER_1,,당연하지. 난 원래 안 지우잖아.,None,positive,response,긍정적인 감정 표현
SPEAKER_3,,근데 그래도 내가 생각했던 것보다는 너 긴장 안 하는 것 같은데? 괜찮은 것 같은데?,성해은,positive,relationship,상대방이 상대방의 긴장 상태를 긍정적으로 평가함
SPEAKER_1,,많이 컸지?,None,Positive,Family,Asking about the growth of a family member
SPEAKER_3,,진짜 많이...자랐네.,정규민,Positive,Compliment,The speaker is expressing admiration for the growth of the other person.
SPEAKER_3,,우리가 나이가 진짜 많이 먹었다.,None,Neutral,Age,The speaker expresses a sense of nostalgia and reflection on the passage of time.
SPEAKER_1,,그치? 진짜 우리 21살에 만났는데 29살이야...!,None,positive,friendship,"친구와 함께한 추억을 회상하며, 시간이 빠르게 지나갔다는 것을 언급"
SPEAKER_3,,그러니까... 2014년 1월에 21살 때거든요. 미팅에서 만났어요. 4대4였던 걸로 기억합니다.,None,neutral,meeting,The speaker is describing a meeting they attended in January 2014 when they were 21 years old.
SPEAKER_1,,"스무 살 때 아무랑도 연애 한 번도 안 해보고, 아 스무한 살 때는 드디어 제발 연애 한 번 하자 하고 과팅 처음 들어오는 거를 처음 나갔어요.",None,긍정,연애,연애 경험에 대한 이야기
SPEAKER_3,,파트너를 보통 정하잖아요. 소지품으로 했던 것 같아요. 좀 올드스쿨하지만 뭔가 하나가 그 친구 거 같은 거예요.,None,Neutral,Relationship,파트너를 보통 정하잖아요. 소지품으로 했던 것 같아요. 좀 올드스쿨하지만 뭔가 하나가 그 친구 거 같은 거예요.
SPEAKER_1,,제가 니베아 립밤을 했었거든요. 그걸 어떻게 근데 규민이가 골라가지고 저 진짜 제발 제발 내꺼 골라라 골라라 이렇게 하고 있었는데,정규민,positive,lip balm,The speaker is expressing a positive sentiment about using Nivea lip balm and wants to choose their own lip balm.
SPEAKER_3,,확실히 뭔가 느낌이 와서 뽑았어요. 순수하다 귀엽다 이런 느낌을 많이 받았었던 것 같아요.,성해은,긍정적,감정 표현,순수하고 귀여운 느낌을 받았다고 표현
SPEAKER_1,,한강에서 규민이가 엄청 망설이면서 우리 만날래? 이렇게 했었던 것 같아요. 내 손 잡아서 자기 주머니에 넣었을 때 그 안에 핫팩이 있었거든요. 그 온기가...그 온기와 감동이 아직까지 남아있어요.,정규민,긍정,감정 표현,"규민이가 망설이며 만남을 제안하고, 손잡는 순간의 감동과 온기를 회상하는 내용"
SPEAKER_3,,그게 군대 가기 80일 전이었던 것 같아요 그래서 나 군 입대까지 얼마 남지 않았는데 지금 뭐 이렇게 얘기해서 미안하지만 우리 만날 수 있을까? 괜찮을까? 라고 했는데 해은이가 고민을 하다가,성해은,긍정,군대,군 입대까지 얼마 남지 않았는데 지금 뭐 이렇게 얘기해서 미안하지만 우리 만날 수 있을까? 괜찮을까?
SPEAKER_1,,아 나 사귀어도 되나? 이러면서 한두 시간을 걸으면서 고민하고 2시간 정도 뒤에 오케이.,성해은,positive,relationship,고민 끝에 사귀기로 결정
SPEAKER_3,,그때부터 만났었던 것 같아요. 첫사랑이라고 하면 될 것 같아요.,성해은,positive,love,첫사랑에 대한 언급
SPEAKER_1,,"21살 때 규민이가 첫 남자친구예요. 규민이가 군대 가기 전 까지 그 두 달, 세 달 동안의 데이트가 눈물의 데이트였어요.",정규민,negative,emotion_polarity,눈물의 데이트
SPEAKER_3,,"해은이와 거의 매일 만났어요. 거의 군대 가기 전까지 일주일에 4번 이상은 만난 것 같아요. 해은이가 군대 면회를 정말 한 번도 안 빠지고, 저 보려고 매 주말마다 왔던 것 같아요.",성해은,Positive,Relationship,"The speaker mentions meeting with a person named '해은' frequently, and the person's dedication to visiting the speaker during their military service."
SPEAKER_1,,"딱 1호선의 끝과 끝으로, 아예 주말에 출근하듯이 매일매일 왕복 4시간. 금요일 밤에는 규민이 면회 갈 생각에 잠을 못 잤어요. 그 이틀 데이트 한 걸로 또 일주일 버티고 그 힘으로 매주 지냈어요. 군대 면회실에서 알콩달콩 그냥 대화하고 같이 있기만 해도 너무 좋은 거죠. 그 시간이 빨리 가기만을 일단 기다렸고 규민이와 헤어질 수 없으니까 (면회실에 온 규민을 만나며)아 귀여워!",정규민,긍정,군대 면회,군대 면회실에서 알콩달콩 대화하고 같이 있기만 해도 너무 좋은 시간
