speaker,text,target,sentiment,category,summary
Unknown,[#환승연애2] 나 hoxy 해은? 날 울리는 눈물나는 순간들.. 해은 지분 90% 주의 | #샾잉.m4a [#환승연애2] 나 hoxy 해은? 날 울리는 눈물나는 순간들.. 해은 지분 90% 주의 | #샾잉,성해은,negative,attention,"해은으로 인해 눈물을 흘리는 순간들에 대한 언급이 나타나, 부정적인 감정을 표현하고 있으며, 성해은에게 감정적 초점이 맞춰져 있음."
박나언,둘 다 약간 이상형이 뭐예요?,,neutral,question,상대방의 이상형을 묻는 질문
성해은,이상형이요? 저 되게 모호해요. 저는 메모장에 이렇게 적어놨네?,성해은,neutral,self_description,자신의 이상형이 모호하다고 말하며 메모장에 적어놓은 내용을 언급하는 발언
성해은,"아, 엄청 많구나. 이상형을?",,neutral,question,출연자가 이상형에 대해 질문하는 발언.
박나언,정확하게 있구나.,,neutral,none,상대방의 말에 대한 긍정적인 반응
성해은,"근데 이상형은 약간 제 마음속에 약간 웹툰 같은 느낌? 아, 맞아요. 근데 항상 사랑에 빠지는 건 그렇게 안 빠지는 것 같아요. 맞아요. 꽂히는 사랑하고는 다르지.",성해은,neutral,self_description,"성해은은 자신의 이상형과 실제 사랑에 빠지는 방식이 다름을 언급하며, 웹툰 같은 이상형과 꽂히는 사랑은 다르다고 말한다."
성해은,저는 옛날에는 엄청 자극적인 사람을 찾았는데 이제 그냥 안정감을 주는 사람을 좋아해요.,,positive,self_reflection,"화자는 과거의 선호와 현재의 선호가 변화했음을 언급하며, 현재는 안정감을 주는 사람을 선호한다고 말함."
박나언,아 힘들어 감사합니다.,,mixed,emotion_expression,"""힘들어""에서 부정적인 감정이, ""감사합니다""에서 긍정적인 감정이 드러남."
박나언,세윤 님은 이상형이 뭐예요? 네? 이상형입니다. 이상형이요?,김지수,neutral,question,김세윤의 이상형을 묻는 질문
박나언,시청해주셔서 감사합니다.,,neutral,general,시청자에게 감사 인사를 전하는 발언
박나언,예쁜 사람이요 우와! 봤지?,,positive,admiration,상대방의 외모에 대한 감탄을 표현하는 발언
이지연,"봐봐, 이거 지랄이었어.",,negative,general,상황에 대한 불만족 또는 부정적인 감정을 표현하는 발언
이지연,지랄하네.,,negative,none,화자가 부정적인 감정을 표현하는 발언
박원빈,저도 똑같은 생각이 들어요.,,neutral,agreement,화자는 상대방의 생각에 동의를 표하고 있다.
이지연,성함이 어떻게 되세요?,이지연,neutral,question,자신의 이름을 묻는 질문
박원빈,응?,,neutral,response,상대방의 발언에 대한 단순 반응
이지연,또 많이 왔다 그랬어요.,,neutral,observation,"누군가가 자주 왔다는 사실을 언급하고 있으나, 구체적인 대상이나 감정은 드러나지 않음."
이지연,안 알려줄래?,,neutral,unclassified,이지연이 상대방에게 정보를 주지 않으려는 의사를 표현함.
이지연,수고하세요.,,neutral,farewell,별다른 감정이나 내용 없이 작별 인사를 건네는 발화
정현규,아 저 두름 맞아?,,neutral,question,정현규가 두름에 대해 질문함
